Repository,File,Line,Type,Severity,Description,Category
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","105","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","106","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","106","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","131","verifyMIC","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","131","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","131","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","105","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AccessControlImplEntryTests.java","60","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclAuthorizationStrategyImplTests.java","107","verifyMIC","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","145","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","146","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","147","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","153","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","154","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","155","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","161","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","162","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","163","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","164","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","165","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","166","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","195","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","196","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","202","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","203","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","207","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","329","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","330","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","331","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","337","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","338","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","339","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","353","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","354","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","355","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","356","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","380","getId","info","Deprecated","Deprecated"
